participant_id,frame,question,main,follow_up,choice,evaluation
0,loss,Disease,True,,1,22
0,loss,Unemployment,True,,0,62
0,loss,Painting,True,,1,73
0,loss,Virus,True,,1,40
1,loss,Disease,True,,2,30
1,loss,Disease,,True,0,28
1,loss,Unemployment,True,,0,72
1,loss,Painting,True,,0,42
1,loss,Virus,True,,2,29
1,loss,Virus,,True,1,39
2,gain,Disease,True,,0,75
2,gain,Unemployment,True,,1,95
2,gain,Painting,True,,0,50
2,gain,Virus,True,,0,75
3,loss,Disease,True,,0,70
3,loss,Unemployment,True,,0,95
3,loss,Painting,True,,0,55
3,loss,Virus,True,,1,60
4,gain,Disease,True,,2,50
4,gain,Disease,,True,0,70
4,gain,Unemployment,True,,1,50
4,gain,Painting,True,,0,40
4,gain,Virus,True,,0,52
5,loss,Disease,True,,2,81
5,loss,Disease,,True,0,89
5,loss,Unemployment,True,,0,91
5,loss,Painting,True,,0,94
5,loss,Virus,True,,0,87
6,gain,Disease,True,,1,70
6,gain,Unemployment,True,,1,53
6,gain,Painting,True,,1,80
6,gain,Virus,True,,1,80
8,loss,Disease,True,,0,65
8,loss,Unemployment,True,,0,90
8,loss,Painting,True,,1,66
8,loss,Virus,True,,0,50
9,gain,Disease,True,,0,33
9,gain,Unemployment,True,,1,44
9,gain,Painting,True,,0,44
9,gain,Virus,True,,1,39
10,loss,Disease,True,,2,30
10,loss,Disease,,True,1,60
10,loss,Unemployment,True,,0,80
10,loss,Painting,True,,1,60
10,loss,Virus,True,,0,40
11,loss,Disease,True,,1,100
11,loss,Unemployment,True,,0,68
11,loss,Painting,True,,0,32
11,loss,Virus,True,,0,40
12,loss,Disease,True,,1,35
12,loss,Unemployment,True,,0,78
12,loss,Painting,True,,1,30
12,loss,Virus,True,,1,50
13,gain,Disease,True,,0,66
13,gain,Unemployment,True,,2,30
13,gain,Unemployment,,True,1,20
13,gain,Painting,True,,0,71
13,gain,Virus,True,,0,60
14,gain,Disease,True,,2,60
14,gain,Disease,,True,0,70
14,gain,Unemployment,True,,2,60
14,gain,Unemployment,,True,1,80
14,gain,Painting,True,,1,80
14,gain,Virus,True,,1,50
15,loss,Disease,True,,2,39
15,loss,Disease,,True,1,57
15,loss,Unemployment,True,,2,60
15,loss,Unemployment,,True,0,57
15,loss,Painting,True,,1,58
15,loss,Virus,True,,1,59
16,gain,Disease,True,,0,19
16,gain,Unemployment,True,,1,37
16,gain,Painting,True,,0,46
16,gain,Virus,True,,0,50
17,loss,Disease,True,,1,65
17,loss,Unemployment,True,,1,73
17,loss,Painting,True,,1,100
17,loss,Virus,True,,2,29
17,loss,Virus,,True,1,67
18,gain,Disease,True,,0,50
18,gain,Unemployment,True,,1,72
18,gain,Painting,True,,0,61
18,gain,Virus,True,,1,50
19,loss,Disease,True,,2,0
19,loss,Disease,,True,1,21
